Store, Tracks (million), Geographic restrictions, Purchase platform, FLAC, ALAC, WAV, AIFF, AAC, MP3, WMA, Vorbis, DRM, Preview (seconds), Stream purchases
7digital, 27[1], Yes [2], Web Android, 24-bit, No, No, No, 320 kbps, 320 kbps, No, No, No, 30-60, Yes
Acoustic Sounds, ?, Yes, Web, 24-bit, No, No, No, No, No, No, No, No, 30, No
Amazon Music, 20[3], Yes, Web Android[4], No, No, No, No, No, 256 kbps, No, No, No, No, Yes
Bandcamp, 18.1, No, Web, 24-bit, 24-bit, 24-bit, 24-bit, Yes, Yes, No, Yes, No, Full, Yes
Beatport, 7.8, Yes [5], Web, No, No, 16-bit, 16-bit, No, 320 kbps, No, No, No, 120, Paid service
Bleep.com, ?, No, Web, 16-bit, No, 24-bit, No, No, 320 kbps, No, No, No, Full, Yes
Classical Archives, 0.62, Yes, Web, No, No, No, No, No, 320 kbps, No, No, No, 60, No
eMusic, 17[6], Yes [7], Web[8], No, No, No, No, No, 320 kbps, No, No, No, 30 [8], ?
Google Play Music, 40[9], Yes [10], Web Android iOS, No, No, No, No, No, 320 kbps, No, No, No, 90 [11], Yes
HDtracks, ?, Yes US [12], Web, 24-bit, 24-bit, 24-bit, 24-bit, No, No, No, No, No, 30, ?
iTunes Store, 43[13], Yes [14], Windows macOS iOS tvOS, No, No, No, No, 256 kbps, No, No, No, No (previously FairPlay), 90 [15], iTunes in the Cloud
Jamendo, 0.21, No, Web, No, No, No, No, No, Yes, No, Yes, No, Full, ?
Juno Download, ?, Yes [16], Web, 16-bit, 16-bit, 16-bit, 16-bit, No, 320 kbps, No, No, No, 60, No
Magnatune, 0.01, No, Web, Yes, Yes, Yes, No, Yes, Yes, No, Yes, No, Full, ?
MAQAM, 0.01, No, Web, No, No, No, No, No, 320 kbps, No, No, No, 45, ?
mora, 4.4, Yes Japan, Web, 24-bit, No, No, No, 320 kbps, No, No, No, No, 30, ?
NoiseTrade, ?, No, Web, No, No, No, No, No, 320 kbps, No, No, No, Full, ?
ProStudioMasters, ?, Yes, Web, 24-bit, No, No, 24-bit, No, No, No, No, No, 30, No
Qobuz, 28[17], Yes, Web Android iOS Kindle Windows 8[18], 24-bit, 24-bit, 24-bit, 24-bit, 320 kbps, 320 kbps, 320 kbps, No, No, 30-60, Yes
Supraphononline, 4.3, No, Web, 16+24-bit, No, No, No, No, 320 kbps, No, No, No, 30+30, ?
Tidal, 40[19], Yes, Web, 16-bit, No, No, No, No, 320 kbps, No, No, No, 30, No
Store, Tracks (million), Geographic restrictions, Purchase platform, FLAC, ALAC, WAV, AIFF, AAC, MP3, WMA, Vorbis, DRM, Preview (seconds), Streaming available
